ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443552,19,2025-08-09 19:00:00,Universidad de Chile,4,Unión Española,1,53.0,47.0,3.56,1.85,24.0,10.0,8.0,6.0,5.0,2.0
13443558,19,2025-08-09 21:30:00,Deportes La Serena,3,O'Higgins,3,35.0,65.0,1.24,2.38,15.0,24.0,6.0,5.0,3.0,9.0
13443560,19,2025-08-10 16:30:00,Everton de Viña del Mar,1,Colo Colo,1,41.0,59.0,1.81,0.69,18.0,6.0,3.0,2.0,3.0,7.0
13443556,19,2025-08-10 19:00:00,Cobresal,1,Coquimbo Unido,2,69.0,31.0,1.85,2.36,16.0,12.0,6.0,7.0,5.0,5.0
13443562,19,2025-08-11 23:00:00,Deportes Limache,4,Audax Italiano,0,47.0,53.0,1.23,1.25,16.0,15.0,7.0,3.0,3.0,8.0
14426857,19,2025-10-09 23:30:00,Universidad Católica,1,Ñublense,0,59.0,41.0,,,13.0,15.0,4.0,2.0,2.0,2.0
13443576,20,2025-08-15 19:00:00,Unión Española,2,Deportes Iquique,2,71.0,29.0,3.18,1.46,19.0,10.0,6.0,5.0,14.0,3.0
13443572,20,2025-08-16 00:00:00,Unión La Calera,1,Deportes La Serena,1,48.0,52.0,0.8,0.8,13.0,17.0,5.0,5.0,6.0,7.0
13443580,20,2025-08-16 16:00:00,Ñublense,1,Palestino,0,36.0,64.0,1.48,1.52,9.0,12.0,6.0,3.0,2.0,5.0
13443568,20,2025-08-16 19:00:00,Colo Colo,1,Universidad Católica,4,72.0,28.0,1.43,2.32,22.0,10.0,5.0,6.0,15.0,3.0
13443578,20,2025-08-16 22:30:00,O'Higgins,1,Cobresal,0,57.0,43.0,1.37,0.65,18.0,11.0,7.0,3.0,9.0,4.0
13443467,20,2025-08-17 16:30:00,Universidad de Chile,1,Audax Italiano,3,69.0,31.0,2.15,1.03,19.0,14.0,5.0,7.0,8.0,5.0
13443582,20,2025-08-17 19:00:00,Huachipato,4,Deportes Limache,0,53.0,47.0,2.03,0.82,14.0,14.0,5.0,5.0,5.0,7.0
13443570,20,2025-08-17 21:30:00,Coquimbo Unido,2,Everton de Viña del Mar,1,43.0,57.0,0.81,1.35,10.0,8.0,3.0,2.0,10.0,1.0
13443598,21,2025-08-22 19:00:00,Palestino,0,Colo Colo,0,54.0,46.0,1.72,0.95,19.0,9.0,9.0,1.0,7.0,3.0
13443594,21,2025-08-23 00:30:00,Deportes Limache,2,O'Higgins,2,29.0,71.0,0.99,1.77,11.0,14.0,5.0,8.0,5.0,3.0
13443590,21,2025-08-23 19:00:00,Cobresal,1,Unión La Calera,0,62.0,38.0,1.87,0.58,19.0,12.0,7.0,3.0,7.0,4.0
13443596,21,2025-08-23 21:30:00,Audax Italiano,0,Coquimbo Unido,1,58.0,42.0,0.26,1.02,5.0,13.0,1.0,3.0,0.0,10.0
13443586,21,2025-08-24 00:00:00,Universidad Católica,2,Unión Española,0,53.0,47.0,0.93,1.26,18.0,13.0,7.0,3.0,2.0,6.0
